           2           1           1           5
           1           6           6           4
           5           6           3           3
           4           6           1           5
           4           1           1           1
           1           4           5           2
           6           3           1           1
           6           3           3           1
           5           6           4           2
           3           3           1           6

 Mean:    3.70000005    
 Uniform mean:    3.50000000    
 Var :   3.20999908    
 Uniform Var   2.91700006    
